"export-plot data (NetLogo 6.2.0)"
"epidemia_caso_1.nlogo"
"10/23/2021 18:44:05:634 -0600"

"MODEL SETTINGS"
"average-recovery-time","infection-chance","initial-people","recovery-chance"
"50","2","500","10"

"""Modelo SIR"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","184","0","521","true","""Infected""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Infected""","true","0","1","15","148"
"""Recupered""","true","0","1","55","148"
"""Susceptible""","true","0","1","105","148"

"""Infected""",,,,"""Recupered""",,,,"""Susceptible"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","26","15","true","0","0","55","true","0","474","105","true"
"1","29","15","true","1","0","55","true","1","471","105","true"
"2","33","15","true","2","1","55","true","2","466","105","true"
"3","35","15","true","3","1","55","true","3","464","105","true"
"4","36","15","true","4","3","55","true","4","461","105","true"
"5","45","15","true","5","4","55","true","5","451","105","true"
"6","48","15","true","6","5","55","true","6","447","105","true"
"7","52","15","true","7","6","55","true","7","442","105","true"
"8","58","15","true","8","6","55","true","8","436","105","true"
"9","69","15","true","9","6","55","true","9","425","105","true"
"10","69","15","true","10","10","55","true","10","421","105","true"
"11","75","15","true","11","12","55","true","11","413","105","true"
"12","85","15","true","12","12","55","true","12","403","105","true"
"13","98","15","true","13","14","55","true","13","388","105","true"
"14","109","15","true","14","14","55","true","14","377","105","true"
"15","110","15","true","15","23","55","true","15","367","105","true"
"16","112","15","true","16","30","55","true","16","358","105","true"
"17","114","15","true","17","34","55","true","17","352","105","true"
"18","114","15","true","18","39","55","true","18","347","105","true"
"19","123","15","true","19","42","55","true","19","335","105","true"
"20","124","15","true","20","48","55","true","20","328","105","true"
"21","134","15","true","21","52","55","true","21","314","105","true"
"22","137","15","true","22","56","55","true","22","307","105","true"
"23","141","15","true","23","62","55","true","23","297","105","true"
"24","149","15","true","24","68","55","true","24","283","105","true"
"25","154","15","true","25","71","55","true","25","275","105","true"
"26","157","15","true","26","73","55","true","26","270","105","true"
"27","161","15","true","27","76","55","true","27","263","105","true"
"28","162","15","true","28","81","55","true","28","257","105","true"
"29","169","15","true","29","88","55","true","29","243","105","true"
"30","171","15","true","30","98","55","true","30","231","105","true"
"31","173","15","true","31","104","55","true","31","223","105","true"
"32","170","15","true","32","112","55","true","32","218","105","true"
"33","176","15","true","33","116","55","true","33","208","105","true"
"34","172","15","true","34","124","55","true","34","204","105","true"
"35","172","15","true","35","132","55","true","35","196","105","true"
"36","176","15","true","36","137","55","true","36","187","105","true"
"37","177","15","true","37","145","55","true","37","178","105","true"
"38","180","15","true","38","147","55","true","38","173","105","true"
"39","185","15","true","39","153","55","true","39","162","105","true"
"40","187","15","true","40","158","55","true","40","155","105","true"
"41","183","15","true","41","168","55","true","41","149","105","true"
"42","181","15","true","42","176","55","true","42","143","105","true"
"43","175","15","true","43","188","55","true","43","137","105","true"
"44","173","15","true","44","196","55","true","44","131","105","true"
"45","167","15","true","45","209","55","true","45","124","105","true"
"46","158","15","true","46","220","55","true","46","122","105","true"
"47","156","15","true","47","227","55","true","47","117","105","true"
"48","152","15","true","48","233","55","true","48","115","105","true"
"49","150","15","true","49","240","55","true","49","110","105","true"
"50","149","15","true","50","245","55","true","50","106","105","true"
"51","151","15","true","51","249","55","true","51","100","105","true"
"52","151","15","true","52","254","55","true","52","95","105","true"
"53","150","15","true","53","263","55","true","53","87","105","true"
"54","143","15","true","54","273","55","true","54","84","105","true"
"55","136","15","true","55","283","55","true","55","81","105","true"
"56","134","15","true","56","286","55","true","56","80","105","true"
"57","130","15","true","57","292","55","true","57","78","105","true"
"58","123","15","true","58","302","55","true","58","75","105","true"
"59","114","15","true","59","311","55","true","59","75","105","true"
"60","108","15","true","60","320","55","true","60","72","105","true"
"61","104","15","true","61","326","55","true","61","70","105","true"
"62","101","15","true","62","329","55","true","62","70","105","true"
"63","95","15","true","63","337","55","true","63","68","105","true"
"64","91","15","true","64","343","55","true","64","66","105","true"
"65","88","15","true","65","347","55","true","65","65","105","true"
"66","79","15","true","66","356","55","true","66","65","105","true"
"67","77","15","true","67","358","55","true","67","65","105","true"
"68","72","15","true","68","364","55","true","68","64","105","true"
"69","66","15","true","69","372","55","true","69","62","105","true"
"70","63","15","true","70","375","55","true","70","62","105","true"
"71","58","15","true","71","380","55","true","71","62","105","true"
"72","56","15","true","72","383","55","true","72","61","105","true"
"73","55","15","true","73","385","55","true","73","60","105","true"
"74","56","15","true","74","388","55","true","74","56","105","true"
"75","54","15","true","75","390","55","true","75","56","105","true"
"76","51","15","true","76","393","55","true","76","56","105","true"
"77","52","15","true","77","396","55","true","77","52","105","true"
"78","49","15","true","78","399","55","true","78","52","105","true"
"79","47","15","true","79","401","55","true","79","52","105","true"
"80","43","15","true","80","405","55","true","80","52","105","true"
"81","39","15","true","81","410","55","true","81","51","105","true"
"82","39","15","true","82","410","55","true","82","51","105","true"
"83","33","15","true","83","416","55","true","83","51","105","true"
"84","33","15","true","84","416","55","true","84","51","105","true"
"85","33","15","true","85","417","55","true","85","50","105","true"
"86","31","15","true","86","419","55","true","86","50","105","true"
"87","30","15","true","87","420","55","true","87","50","105","true"
"88","28","15","true","88","422","55","true","88","50","105","true"
"89","27","15","true","89","423","55","true","89","50","105","true"
"90","24","15","true","90","426","55","true","90","50","105","true"
"91","22","15","true","91","428","55","true","91","50","105","true"
"92","19","15","true","92","431","55","true","92","50","105","true"
"93","17","15","true","93","433","55","true","93","50","105","true"
"94","17","15","true","94","433","55","true","94","50","105","true"
"95","14","15","true","95","437","55","true","95","49","105","true"
"96","13","15","true","96","438","55","true","96","49","105","true"
"97","11","15","true","97","440","55","true","97","49","105","true"
"98","11","15","true","98","440","55","true","98","49","105","true"
"99","10","15","true","99","441","55","true","99","49","105","true"
"100","10","15","true","100","441","55","true","100","49","105","true"
"101","9","15","true","101","442","55","true","101","49","105","true"
"102","9","15","true","102","442","55","true","102","49","105","true"
"103","9","15","true","103","442","55","true","103","49","105","true"
"104","9","15","true","104","442","55","true","104","49","105","true"
"105","10","15","true","105","442","55","true","105","48","105","true"
"106","10","15","true","106","442","55","true","106","48","105","true"
"107","9","15","true","107","443","55","true","107","48","105","true"
"108","9","15","true","108","443","55","true","108","48","105","true"
"109","8","15","true","109","444","55","true","109","48","105","true"
"110","8","15","true","110","444","55","true","110","48","105","true"
"111","7","15","true","111","445","55","true","111","48","105","true"
"112","6","15","true","112","446","55","true","112","48","105","true"
"113","6","15","true","113","446","55","true","113","48","105","true"
"114","4","15","true","114","448","55","true","114","48","105","true"
"115","4","15","true","115","448","55","true","115","48","105","true"
"116","4","15","true","116","449","55","true","116","47","105","true"
"117","4","15","true","117","449","55","true","117","47","105","true"
"118","4","15","true","118","449","55","true","118","47","105","true"
"119","4","15","true","119","449","55","true","119","47","105","true"
"120","4","15","true","120","449","55","true","120","47","105","true"
"121","3","15","true","121","450","55","true","121","47","105","true"
"122","3","15","true","122","450","55","true","122","47","105","true"
"123","2","15","true","123","451","55","true","123","47","105","true"
"124","2","15","true","124","451","55","true","124","47","105","true"
"125","2","15","true","125","451","55","true","125","47","105","true"
"126","3","15","true","126","451","55","true","126","46","105","true"
"127","3","15","true","127","451","55","true","127","46","105","true"
"128","2","15","true","128","452","55","true","128","46","105","true"
"129","2","15","true","129","452","55","true","129","46","105","true"
"130","2","15","true","130","452","55","true","130","46","105","true"
"131","2","15","true","131","452","55","true","131","46","105","true"
"132","2","15","true","132","452","55","true","132","46","105","true"
"133","2","15","true","133","452","55","true","133","46","105","true"
"134","2","15","true","134","452","55","true","134","46","105","true"
"135","2","15","true","135","452","55","true","135","46","105","true"
"136","2","15","true","136","452","55","true","136","46","105","true"
"137","2","15","true","137","452","55","true","137","46","105","true"
"138","2","15","true","138","452","55","true","138","46","105","true"
"139","2","15","true","139","452","55","true","139","46","105","true"
"140","2","15","true","140","452","55","true","140","46","105","true"
"141","1","15","true","141","453","55","true","141","46","105","true"
"142","1","15","true","142","453","55","true","142","46","105","true"
"143","1","15","true","143","453","55","true","143","46","105","true"
"144","1","15","true","144","453","55","true","144","46","105","true"
"145","1","15","true","145","453","55","true","145","46","105","true"
"146","1","15","true","146","453","55","true","146","46","105","true"
"147","1","15","true","147","453","55","true","147","46","105","true"
"148","0","15","true","148","454","55","true","148","46","105","true"
