"export-plot data (NetLogo 6.2.0)"
"epidemia_caso_2.nlogo"
"10/21/2021 09:21:55:659 -0600"

"MODEL SETTINGS"
"average-recovery-time","infection-chance","initial-people","recovery-chance"
"50","2","500","90"

"""Modelo SIR"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","184","0","523","true","""Infected""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Infected""","true","0","1","15","157"
"""Recupered""","true","0","1","55","157"
"""Susceptible""","true","0","1","105","157"

"""Infected""",,,,"""Recupered""",,,,"""Susceptible"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","25","15","true","0","0","55","true","0","475","105","true"
"1","27","15","true","1","3","55","true","1","470","105","true"
"2","29","15","true","2","4","55","true","2","467","105","true"
"3","32","15","true","3","6","55","true","3","462","105","true"
"4","28","15","true","4","10","55","true","4","462","105","true"
"5","32","15","true","5","10","55","true","5","458","105","true"
"6","36","15","true","6","11","55","true","6","453","105","true"
"7","38","15","true","7","13","55","true","7","449","105","true"
"8","40","15","true","8","17","55","true","8","443","105","true"
"9","39","15","true","9","22","55","true","9","439","105","true"
"10","44","15","true","10","23","55","true","10","433","105","true"
"11","45","15","true","11","25","55","true","11","430","105","true"
"12","50","15","true","12","25","55","true","12","425","105","true"
"13","49","15","true","13","32","55","true","13","419","105","true"
"14","46","15","true","14","39","55","true","14","415","105","true"
"15","46","15","true","15","41","55","true","15","413","105","true"
"16","40","15","true","16","50","55","true","16","410","105","true"
"17","40","15","true","17","52","55","true","17","408","105","true"
"18","40","15","true","18","54","55","true","18","406","105","true"
"19","39","15","true","19","59","55","true","19","402","105","true"
"20","37","15","true","20","63","55","true","20","400","105","true"
"21","33","15","true","21","68","55","true","21","399","105","true"
"22","36","15","true","22","69","55","true","22","395","105","true"
"23","36","15","true","23","71","55","true","23","393","105","true"
"24","39","15","true","24","73","55","true","24","388","105","true"
"25","38","15","true","25","77","55","true","25","385","105","true"
"26","39","15","true","26","78","55","true","26","383","105","true"
"27","42","15","true","27","79","55","true","27","379","105","true"
"28","44","15","true","28","80","55","true","28","376","105","true"
"29","46","15","true","29","83","55","true","29","371","105","true"
"30","45","15","true","30","89","55","true","30","366","105","true"
"31","43","15","true","31","92","55","true","31","365","105","true"
"32","43","15","true","32","94","55","true","32","363","105","true"
"33","46","15","true","33","97","55","true","33","357","105","true"
"34","44","15","true","34","101","55","true","34","355","105","true"
"35","46","15","true","35","102","55","true","35","352","105","true"
"36","47","15","true","36","107","55","true","36","346","105","true"
"37","47","15","true","37","112","55","true","37","341","105","true"
"38","47","15","true","38","115","55","true","38","338","105","true"
"39","43","15","true","39","120","55","true","39","337","105","true"
"40","45","15","true","40","123","55","true","40","332","105","true"
"41","48","15","true","41","126","55","true","41","326","105","true"
"42","45","15","true","42","129","55","true","42","326","105","true"
"43","48","15","true","43","132","55","true","43","320","105","true"
"44","46","15","true","44","137","55","true","44","317","105","true"
"45","44","15","true","45","139","55","true","45","317","105","true"
"46","46","15","true","46","139","55","true","46","315","105","true"
"47","49","15","true","47","142","55","true","47","309","105","true"
"48","50","15","true","48","143","55","true","48","307","105","true"
"49","51","15","true","49","144","55","true","49","305","105","true"
"50","49","15","true","50","149","55","true","50","302","105","true"
"51","49","15","true","51","153","55","true","51","298","105","true"
"52","47","15","true","52","157","55","true","52","296","105","true"
"53","47","15","true","53","158","55","true","53","295","105","true"
"54","48","15","true","54","162","55","true","54","290","105","true"
"55","44","15","true","55","169","55","true","55","287","105","true"
"56","46","15","true","56","170","55","true","56","284","105","true"
"57","51","15","true","57","174","55","true","57","275","105","true"
"58","49","15","true","58","178","55","true","58","273","105","true"
"59","47","15","true","59","184","55","true","59","269","105","true"
"60","42","15","true","60","190","55","true","60","268","105","true"
"61","40","15","true","61","192","55","true","61","268","105","true"
"62","41","15","true","62","194","55","true","62","265","105","true"
"63","40","15","true","63","199","55","true","63","261","105","true"
"64","42","15","true","64","200","55","true","64","258","105","true"
"65","38","15","true","65","206","55","true","65","256","105","true"
"66","39","15","true","66","209","55","true","66","252","105","true"
"67","37","15","true","67","213","55","true","67","250","105","true"
"68","37","15","true","68","214","55","true","68","249","105","true"
"69","35","15","true","69","220","55","true","69","245","105","true"
"70","34","15","true","70","222","55","true","70","244","105","true"
"71","34","15","true","71","227","55","true","71","239","105","true"
"72","37","15","true","72","228","55","true","72","235","105","true"
"73","37","15","true","73","229","55","true","73","234","105","true"
"74","35","15","true","74","232","55","true","74","233","105","true"
"75","32","15","true","75","236","55","true","75","232","105","true"
"76","29","15","true","76","240","55","true","76","231","105","true"
"77","27","15","true","77","242","55","true","77","231","105","true"
"78","26","15","true","78","243","55","true","78","231","105","true"
"79","25","15","true","79","246","55","true","79","229","105","true"
"80","25","15","true","80","246","55","true","80","229","105","true"
"81","26","15","true","81","247","55","true","81","227","105","true"
"82","27","15","true","82","249","55","true","82","224","105","true"
"83","27","15","true","83","250","55","true","83","223","105","true"
"84","28","15","true","84","250","55","true","84","222","105","true"
"85","29","15","true","85","252","55","true","85","219","105","true"
"86","26","15","true","86","255","55","true","86","219","105","true"
"87","25","15","true","87","256","55","true","87","219","105","true"
"88","24","15","true","88","257","55","true","88","219","105","true"
"89","22","15","true","89","259","55","true","89","219","105","true"
